Episode;Quote;Author;Who said it
2�01, The Fisher King ;The defects and faults of the mind are like wounds in the body. After all imaginable care has been taken to heal them up, still there will be a scar left behind.;Francois de la Roche Foucauld;Gideon
2�01, The Fisher King ;It has been said that time heals all wounds. I do not agree. The wounds remain. In time, the mind, protecting its sanity, covers them with scar tissue, and the pain lessens, but it is never gone.;Rose Kennedy;Reid
2�02, P911;The test of the morality of a society is what it does for its children.;Dietrich Bonhoeffer;Gideon
2�03, The Perfect Storm;Of all the animals, man is the only one that is cruel. He is the only one who inflicts pain for the pleasure of doing it.;Mark Twain;Gideon
2�03, The Perfect Storm;Out of suffering have emerged the strongest souls. The most massive characters are seared with scars.;Khalil Gibran;Hotch
2�04, Psychodrama;Man is least himself when he talks in his own person. Give him a mask, and he will tell you the truth.;Oscar Wilde;Hotch
2�04, Psychodrama;The basis of shame is not some personal mistake of ours, but that this humiliation is seen by everyone.;Milan Kundera;Hotch
2�05, Aftermath;Although the world is full of suffering, it is also full of overcoming it.;Helen Keller;Gideon
2�06, The Boogeyman;We can easily forgive a child who is afraid of the dark. The real tragedy of life is when men are afraid of the light.;Plato;Hotch
2�07, North Mammon;It's not so important who starts the game, but who finishes it.;John Wooden;JJ
2�07, North Mammon;The ultimate choice for a man, in as much as he is given to transcend himself, is to create or destroy, to love or to hate.;Erich Fromm;JJ
2�08, Empty Planet;Crime butchers innocents to secure a prize. And innocence struggles with all its might against the attempts of crime.;Maximilien Robespierre;Gideon
2�09, The Last Word;If men could only know each other, they would neither idolize nor hate.;Elbert Hubbard;Gideon
2�09, The Last Word;Remember that all through history, there have been tyrants and murderers, and for a time, they seem invincible. But in the end, they always fall. Always.;Mahatma Ghandi;Hotch
2�10, Lessons Learned;Some of the best lessons are learned from past mistakes. The error of the past is the wisdom of the future.;Dale Turner;Gideon
2�10, Lessons Learned;In order to learn the most important lessons of life, one must each day surmount a fear.;Ralph Waldo Emerson;Gideon
2�11, Sex, Birth, Death;Between the idea and the reality, between the motion and the act, falls the shadow.;T.S. Eliot;Reid
2�11, Sex, Birth, Death;Between the desire and the spasm, between the potency and the existence, between the essence and the descent, falls the shadow. This is the way the world ends.;T.S. Eliot;Reid
2�12, Profiler, Profiled;All secrets are deep. All secrets become dark. That's in the nature of secrets.;Cory Doctorow;Morgan
2�13, No Way Out;Evil brings men together.;Aristotle;Gideon
2�14, The Big Game;I didn't have anything against them, and they never did anything wrong to me, the way other people have all my life. Maybe they're just the ones who have to pay for it.;Perry Smith;Gideon
2�15, Revelations;There is not a righteous man on Earth who does what is right and never sins.;Ecclesiastes 7:20;Hotch
2�16, Fear and Loathing;From the deepest desires often come the deadliest hate.;Socrates;Gideon
2�16, Fear and Loathing;The life of the dead is placed in the memory of the living.;Cicero;Reid
2�17, Distress;Our life is made by the death of others.;Leonardo Da Vinci;Gideon
2�17, Distress;If there must be trouble, let it be in my day, that my child may have peace.;Thomas Paine;Hotch
2�18, Jones;Tragedy is a tool for the living to gain wisdom, not a guide by which to live.;Robert Kennedy;Gideon
2�19, Ashes and Dust;The torture of a bad conscience is the hell of a living soul.;John Calvin;Hotch
2�19, Ashes and Dust;Live as if you were to die tomorrow. Learn as if you were to live forever.;Mahatma Ghandi;Hotch
2�20, Honor Among Thieves;There can be no good without evil.;Russian proverb;Prentiss
2�20, Honor Among Thieves;Happy families are all alike. Every unhappy family is unhappy in its own way.;Leo Tolstoy;Prentiss
2�21, Open Season;One man's wilderness is another man's theme park.;Unknown;Gideon
2�21, Open Season;Wild animals never kill for sport. Man is the only one to whom the torture and death of his fellow creatures is amusing in itself.;James Anthony Froud;Prentiss
2�22, Legacy;Of all the preposterous assumptions of humanity, nothing exceeds the criticisms made of the habits of the poor by the well-housed, well-warmed, and well-fed.;Herman Melville;Hotch
